Place.of.residence,far_right_rate,right_leaning_rate,left_leaning_rate,enterprise_birth_rate,enterprise_death_rate,income,unemployment_rate,marital_rate,foreign_born_rate,religious_ppl_rate,crime_rate,daily_activity_limit_rate,long_term_illness_rate,university_rate,female_rate,population_density
Põhja-Sakala rural municipality,0.24798183652875883,0.4722502522704339,0.26765893037336025,0.2,15.6,1356,0.024522457408363448,0.3136655457046775,0.054945054945054944,0.13608562691131498,1.0325245224574085e-4,0.3152454780361757,0.3669250645994832,0.15698563130541118,0.5042016806722689,6.7
Türi rural municipality,0.23288676821435125,0.5402826206643421,0.2171040557900532,0.4,20.6,1421,0.03173265936534681,0.33859303090072324,0.08281573498964803,0.13253012048192772,5.054759898904802e-4,0.2850423330197554,0.32831608654750705,0.15538023230330922,0.5201392810088462,10.6
Viljandi rural municipality,0.25372902423865756,0.5391547545059043,0.19561839651957738,0.8,20.7,1356,0.023866171003717473,0.3154892496709083,0.06959051241888566,0.1280701754385965,2.0817843866171004e-4,0.33557046979865773,0.4190902311707681,0.15410267661254937,0.5063026777056762,9.8
Viru-Nigula rural municipality,0.17901234567901234,0.5246913580246914,0.1931216931216931,0.4,23.7,1366,0.041114742817822125,0.34213218743605484,0.30812820966885074,0.294478527607362,1.3762257010149664e-4,0.3380530973451327,0.3787610619469027,0.12768569674647023,0.5193908269877812,18.6
Valga rural municipality,0.22896425297891843,0.4278643446379468,0.326672777268561,1.2,18,1223,0.05042864346949067,0.3262448521153126,0.3288720159577891,0.3166167664670659,1.3867876954109934e-4,0.35456885456885456,0.42985842985842987,0.1404717334331711,0.5201081011517921,21.2
Mulgi rural municipality,0.26007625272331153,0.4912854030501089,0.2429193899782135,0.7,20.8,1309,0.029212531752751906,0.29825134825951954,0.08311984059208653,0.1437908496732026,1.1289867344058707e-4,0.37695590327169276,0.4096728307254623,0.140545840823664,0.5078280671790493,8
Tartu rural municipality,0.1817440912795436,0.6166259168704157,0.1837000814995925,0.8,22.9,1652,0.028341384863123993,0.3765014195239135,0.07017394270122783,0.1539301310043668,3.381642512077295e-4,0.24808184143222506,0.27024722932651324,0.278663463638349,0.502387448840382,16.7
Tartu city,0.14329543782965937,0.6519637716182991,0.17214785550675604,0.9,23.8,1703,0.03265358802271554,0.33485199231640644,0.1695096274144823,0.22903583302548947,0.0033934315555379053,0.2791170786288272,0.31929610416030924,0.36953898438654387,0.5304791838312329,653.9
Luunja rural municipality,0.16699487987396613,0.6762504923198109,0.12367073651043718,0.6,28.4,1663,0.02886671418389166,0.39288290454436164,0.12030494607660841,0.19230769230769232,5.345687811831789e-4,0.22490706319702602,0.2342007434944238,0.306804520317384,0.5066939382670138,42.6
Peipsiääre rural municipality,0.17992503123698458,0.5306122448979592,0.18575593502707205,1.1,22.5,1297,0.042498517493575805,0.3589221014492754,0.120203602192639,0.34615384615384615,5.139355603874284e-4,0.4227005870841487,0.4461839530332681,0.15058876811594202,0.5117462803445576,7.8
Setomaa rural municipality,0.27867790019442645,0.4031108230719378,0.30719377835385614,1.7,22.3,1242,0.03258944385405597,0.3395775209246712,0.15865215865215865,0.46215139442231074,6.376195536663124e-4,0.47017543859649125,0.45263157894736844,0.16141889198884019,0.49491049491049494,6.1
Kuusalu rural municipality,0.14720090934924696,0.6820119352088662,0.15316851378232452,24.8,36.4,1614,0.02962382445141066,0.3661340607950117,0.0743351489907081,0.16374269005847952,0.0012539184952978055,0.2708333333333333,0.2916666666666667,0.2509742790335152,0.5105735341236783,9
Kadrina rural municipality,0.17963340122199592,0.6281059063136456,0.18533604887983707,0.6,17.7,1459,0.02708897687018129,0.3348359629351365,0.07131045886730054,0.14285714285714285,4.1675349031048136e-4,0.25206611570247933,0.27892561983471076,0.18682694715752568,0.5078544853245143,13.6
